Time,Ohms
547.0604810714722,b'+1.00479410E+03\n'
547.5241725444794,b'+1.00481200E+03\n'
547.9872753620148,b'+1.00482980E+03\n'
548.4511137008667,b'+1.00484700E+03\n'
548.9153797626495,b'+1.00486320E+03\n'
549.3794238567352,b'+1.00487980E+03\n'
549.8434836864471,b'+1.00489770E+03\n'
550.307687997818,b'+1.00491620E+03\n'
550.7717387676239,b'+1.00493500E+03\n'
551.2357878684998,b'+1.00495280E+03\n'
551.6997120380402,b'+1.00497100E+03\n'
552.1637477874756,b'+1.00498910E+03\n'
552.6276981830597,b'+1.00500700E+03\n'
553.0913724899292,b'+1.00502530E+03\n'
553.5550315380096,b'+1.00504320E+03\n'
554.0192778110504,b'+1.00506160E+03\n'
554.4831342697144,b'+1.00508060E+03\n'
554.9471025466919,b'+1.00509830E+03\n'
555.411051273346,b'+1.00511610E+03\n'
555.8749375343323,b'+1.00513400E+03\n'
556.3385617733002,b'+1.00515130E+03\n'
556.8027627468109,b'+1.00516890E+03\n'
557.266693353653,b'+1.00518780E+03\n'
557.7306671142578,b'+1.00520690E+03\n'
558.1944875717163,b'+1.00522560E+03\n'
558.6584739685059,b'+1.00524440E+03\n'
559.1222629547119,b'+1.00526380E+03\n'
559.5862777233124,b'+1.00528230E+03\n'
560.0502049922943,b'+1.00530070E+03\n'
560.5142180919647,b'+1.00531800E+03\n'
560.977278470993,b'+1.00533440E+03\n'
561.4410688877106,b'+1.00535130E+03\n'
561.9048492908478,b'+1.00536750E+03\n'
562.3688271045685,b'+1.00538440E+03\n'
562.832644701004,b'+1.00540260E+03\n'
563.2971081733704,b'+1.00542010E+03\n'
563.761551618576,b'+1.00543800E+03\n'
564.2253816127777,b'+1.00545680E+03\n'
564.689076423645,b'+1.00547550E+03\n'
565.1532304286957,b'+1.00549440E+03\n'
565.6169326305389,b'+1.00551320E+03\n'
566.0811457633972,b'+1.00553130E+03\n'
566.544947385788,b'+1.00555100E+03\n'
567.0089786052704,b'+1.00556930E+03\n'
567.4729771614075,b'+1.00558690E+03\n'
567.9365093708038,b'+1.00560420E+03\n'
568.4004366397858,b'+1.00562190E+03\n'
568.8646035194397,b'+1.00564040E+03\n'
569.3285727500916,b'+1.00565870E+03\n'
569.7925338745117,b'+1.00567660E+03\n'
570.2562990188599,b'+1.00569430E+03\n'
570.719863653183,b'+1.00571420E+03\n'
571.1842429637909,b'+1.00573250E+03\n'
571.6481559276581,b'+1.00575110E+03\n'
572.1120886802673,b'+1.00576690E+03\n'
572.5758635997772,b'+1.00578460E+03\n'
573.0400803089142,b'+1.00580150E+03\n'
573.5027103424072,b'+1.00581880E+03\n'
573.9666142463684,b'+1.00583570E+03\n'
574.430577993393,b'+1.00585420E+03\n'
574.894341468811,b'+1.00587240E+03\n'
575.3583233356476,b'+1.00588990E+03\n'
575.8222436904907,b'+1.00590760E+03\n'
576.2881648540497,b'+1.00592450E+03\n'
576.7509615421295,b'+1.00594150E+03\n'
577.2151253223419,b'+1.00595840E+03\n'
577.6790940761566,b'+1.00597570E+03\n'
578.143119096756,b'+1.00599300E+03\n'
578.6068394184113,b'+1.00601020E+03\n'
579.07080245018,b'+1.00602730E+03\n'
579.5347011089325,b'+1.00604360E+03\n'
579.9983701705933,b'+1.00606050E+03\n'
580.4618725776672,b'+1.00607730E+03\n'
580.9265365600586,b'+1.00609330E+03\n'
581.3904583454132,b'+1.00611040E+03\n'
581.8544690608978,b'+1.00612750E+03\n'
582.3182826042175,b'+1.00614340E+03\n'
582.78218126297,b'+1.00615820E+03\n'
583.2459955215454,b'+1.00617320E+03\n'
583.7100291252136,b'+1.00618810E+03\n'
584.1740345954895,b'+1.00620290E+03\n'
584.6377286911011,b'+1.00621890E+03\n'
585.1018240451813,b'+1.00623480E+03\n'
585.5657415390015,b'+1.00625080E+03\n'
586.0293607711792,b'+1.00626650E+03\n'
586.4924874305725,b'+1.00628290E+03\n'
586.9563467502594,b'+1.00629990E+03\n'
587.4202108383179,b'+1.00631660E+03\n'
587.8842043876648,b'+1.00633220E+03\n'
588.3482084274292,b'+1.00634790E+03\n'
588.8116199970245,b'+1.00636310E+03\n'
589.2764456272125,b'+1.00638000E+03\n'
589.7404499053955,b'+1.00639670E+03\n'
590.2043771743774,b'+1.00641300E+03\n'
590.6689052581787,b'+1.00642920E+03\n'
591.1322405338287,b'+1.00644450E+03\n'
591.5965886116028,b'+1.00646090E+03\n'
592.0600838661194,b'+1.00647620E+03\n'
592.5240292549133,b'+1.00649150E+03\n'
592.988490819931,b'+1.00650600E+03\n'
593.4518480300903,b'+1.00652080E+03\n'
593.915668964386,b'+1.00653560E+03\n'
594.3796429634094,b'+1.00655250E+03\n'
594.8435094356537,b'+1.00656960E+03\n'
595.3078947067261,b'+1.00658870E+03\n'
595.7714047431946,b'+1.00660710E+03\n'
596.23534989357,b'+1.00662550E+03\n'
596.6996233463287,b'+1.00664190E+03\n'
597.163259267807,b'+1.00665910E+03\n'
597.62753033638,b'+1.00667700E+03\n'
598.0910255908966,b'+1.00669520E+03\n'
598.5547051429749,b'+1.00671260E+03\n'
599.0180742740631,b'+1.00673100E+03\n'
599.4820780754089,b'+1.00674760E+03\n'
599.9460394382477,b'+1.00676500E+03\n'
600.4100399017334,b'+1.00678180E+03\n'
600.8738152980804,b'+1.00679850E+03\n'
601.3376517295837,b'+1.00681560E+03\n'
601.8028860092163,b'+1.00683210E+03\n'
602.2667398452759,b'+1.00684950E+03\n'
602.7306146621704,b'+1.00686780E+03\n'
603.1946089267731,b'+1.00688650E+03\n'
603.6583850383759,b'+1.00690420E+03\n'
604.1221189498901,b'+1.00692170E+03\n'
604.5863583087921,b'+1.00693840E+03\n'
605.0501327514648,b'+1.00695540E+03\n'
605.5135040283203,b'+1.00697170E+03\n'
605.9780292510986,b'+1.00698940E+03\n'
606.4417254924774,b'+1.00700790E+03\n'
606.9056262969971,b'+1.00702630E+03\n'
607.3697583675385,b'+1.00704350E+03\n'
607.8338282108307,b'+1.00706290E+03\n'
608.29771733284,b'+1.00708070E+03\n'
608.7617011070251,b'+1.00709900E+03\n'
609.2254767417908,b'+1.00711610E+03\n'
609.6893043518066,b'+1.00713340E+03\n'
610.1531054973602,b'+1.00714860E+03\n'
610.6165843009949,b'+1.00716550E+03\n'
611.0811014175415,b'+1.00718230E+03\n'
611.545051574707,b'+1.00719890E+03\n'
612.0082728862762,b'+1.00721540E+03\n'
612.4721083641052,b'+1.00723150E+03\n'
612.9361500740051,b'+1.00724540E+03\n'
