Phase_Deg,Lockin_Output,Resistance_Ohm
297,0.0090E-3,1037.3488
298,0.0143E-3,1037.3511
299,0.0158E-3,1037.3542
300,0.0205E-3,1037.357
301,0.0215E-3,1037.3596
302,0.0243E-3,1037.3621
303,0.0250E-3,1037.3656
304,0.0255E-3,1037.3683
305,0.0230E-3,1037.3708
306,0.0225E-3,1037.3733
307,0.0308E-3,1037.3763
308,0.0328E-3,1037.3787
309,0.0278E-3,1037.3807
310,0.0305E-3,1037.3838
311,0.0393E-3,1037.3858
312,0.0355E-3,1037.3884
313,0.0365E-3,1037.3907
314,0.0430E-3,1037.3929
315,0.0445E-3,1037.3949
316,0.0425E-3,1037.3974
317,0.0415E-3,1037.3998
318,0.0440E-3,1037.4021
319,0.0505E-3,1037.4041
320,0.0530E-3,1037.4067
321,0.0518E-3,1037.408
322,0.0530E-3,1037.4106
323,0.0543E-3,1037.4122
324,0.0570E-3,1037.4145
325,0.0593E-3,1037.4157
326,0.0593E-3,1037.418
327,0.0570E-3,1037.4199
328,0.0595E-3,1037.4214
329,0.0658E-3,1037.4229
330,0.0588E-3,1037.4251
331,0.0670E-3,1037.4269
332,0.0615E-3,1037.4281
333,0.0695E-3,1037.43
334,0.0650E-3,1037.4313
335,0.0683E-3,1037.4328
336,0.0720E-3,1037.4344
337,0.0700E-3,1037.4353
338,0.0758E-3,1037.4373
339,0.0713E-3,1037.4385
340,0.0780E-3,1037.4398
341,0.0775E-3,1037.4414
342,0.0738E-3,1037.4427
343,0.0798E-3,1037.4437
344,0.0825E-3,1037.4447
345,0.0803E-3,1037.446
346,0.0805E-3,1037.4472
347,0.0815E-3,1037.4487
348,0.0853E-3,1037.4495
349,0.0873E-3,1037.4507
350,0.0830E-3,1037.4517
351,0.0818E-3,1037.4529
352,0.0868E-3,1037.4539
353,0.0905E-3,1037.4548
354,0.0885E-3,1037.4562
355,0.0853E-3,1037.4563
356,0.0898E-3,1037.4578
357,0.0938E-3,1037.4587
358,0.0890E-3,1037.4591
359,0.0885E-3,1037.4604
360,0.0943E-3,1037.4609
