lockin,Temp
4.900E-6,91.27057616051616
4.920E-6,91.31316590559584
4.920E-6,91.35575565067552
4.880E-6,91.39772889763572
4.930E-6,91.43923977100656
4.900E-6,91.48013414625791
4.920E-6,91.52077164729292
4.860E-6,91.56033027661908
4.870E-6,91.59968340657201
4.860E-6,91.63852278809225
4.860E-6,91.67731079476914
4.900E-6,91.71579055238635
4.920E-6,91.7533455628245
4.920E-6,91.79048957451641
4.900E-6,91.82768496105155
4.880E-6,91.86380147587784
4.870E-6,91.89976386617434
4.920E-6,91.93526388288126
4.920E-6,91.97055840021505
4.920E-6,92.00523641942948
4.930E-6,92.03965756442756
4.920E-6,92.07392458489574
4.930E-6,92.10757510724466
4.920E-6,92.14091738053378
4.950E-6,92.17359178086019
4.900E-6,92.20636893087328
4.920E-6,92.23909470604303
4.920E-6,92.27130673277998
4.870E-6,92.30274813686788
4.880E-6,92.33424091579889
4.880E-6,92.36516857145386
4.930E-6,92.39630172648185
4.920E-6,92.42676700854736
4.900E-6,92.45687266670973
4.870E-6,92.48702969971555
4.920E-6,92.51636473522876
4.880E-6,92.546059394645
4.870E-6,92.57513755594186
4.900E-6,92.60395884302227
4.860E-6,92.63272875525945
4.860E-6,92.66119041843695
