Phase_Deg,Lockin_Output,Resistance_Ohm
305,0.0680E-3,1038.1341
306,0.0700E-3,1038.1412
307,0.0630E-3,1038.1495
308,0.0570E-3,1038.157
309,0.0580E-3,1038.1643
310,0.0620E-3,1038.1718
311,0.0710E-3,1038.1792
312,0.0830E-3,1038.1867
313,0.0880E-3,1038.1941
314,0.0850E-3,1038.2017
315,0.0830E-3,1038.2091
316,0.0750E-3,1038.2161
317,0.0750E-3,1038.2226
318,0.0750E-3,1038.2304
319,0.0830E-3,1038.2369
320,0.0900E-3,1038.2444
321,0.1000E-3,1038.2514
322,0.1000E-3,1038.2587
323,0.0960E-3,1038.2655
324,0.0900E-3,1038.2725
325,0.0830E-3,1038.2789
326,0.0850E-3,1038.2856
327,0.0950E-3,1038.292
328,0.1030E-3,1038.2989
329,0.1120E-3,1038.305
330,0.1060E-3,1038.3121
331,0.0910E-3,1038.3184
332,0.0930E-3,1038.3253
333,0.1080E-3,1038.3313
334,0.1120E-3,1038.3381
335,0.1060E-3,1038.344
336,0.0960E-3,1038.3504
337,0.1060E-3,1038.3563
338,0.1210E-3,1038.3627
339,0.1020E-3,1038.3689
340,0.1030E-3,1038.3748
341,0.1200E-3,1038.3803
342,0.1080E-3,1038.3865
343,0.1020E-3,1038.3925
344,0.1220E-3,1038.398
345,0.1220E-3,1038.4039
346,0.1120E-3,1038.409
347,0.1030E-3,1038.4151
348,0.1100E-3,1038.4203
349,0.1220E-3,1038.4268
350,0.1270E-3,1038.4318
351,0.1260E-3,1038.4369
352,0.1210E-3,1038.4423
353,0.1160E-3,1038.4473
354,0.1080E-3,1038.453
355,0.1120E-3,1038.458
356,0.1220E-3,1038.4632
357,0.1270E-3,1038.4684
358,0.1250E-3,1038.4736
359,0.1120E-3,1038.478
360,0.1120E-3,1038.4831
361,0.1270E-3,1038.4885
362,0.1330E-3,1038.4929
363,0.1120E-3,1038.4974
364,0.1150E-3,1038.5023
365,0.1270E-3,1038.5072
366,0.1270E-3,1038.5116
367,0.1160E-3,1038.5161
368,0.1160E-3,1038.5207
369,0.1310E-3,1038.5252
370,0.1280E-3,1038.5299
371,0.1210E-3,1038.5341
372,0.1080E-3,1038.5384
373,0.1220E-3,1038.5423
374,0.1310E-3,1038.5463
375,0.1270E-3,1038.5515
376,0.1200E-3,1038.5557
377,0.1100E-3,1038.5594
378,0.1210E-3,1038.5632
379,0.1280E-3,1038.5672
380,0.1260E-3,1038.5712
381,0.1100E-3,1038.5751
382,0.1080E-3,1038.5783
